#MVoxels  FPS
1     228.0579723
2     223.7286619
3     256.7295226
5     278.9820503
10    217.5327006
20    111.6518784
30    83.65330723
50    16.72472935
100   8.88036374
200   24.99318936
300   20.18338625
500   17.08910945
1000  0.159213612
2000  28.48913567
