#MVoxels  FPS
1     26.08704726
2     25.95582319
3     31.51641217
5     42.79612781
10    25.91445638
20    16.14405665
30    8.644611381
50    6.59948392
100   3.867903364
200   2.867202642
300   2.261149161
500   1.618953411
1000  0.971317009
2000  0.705711322
